source	target	interactiontype
ENSMUSG00000022479	ENSMUSG00000033590	TF-TG
ENSMUSG00000022479	ENSMUSG00000033684	TF-TG
ENSMUSG00000022479	ENSMUSG00000034112	TF-TG
ENSMUSG00000022479	ENSMUSG00000034353	TF-TG
ENSMUSG00000022479	ENSMUSG00000034472	TF-TG
ENSMUSG00000022479	ENSMUSG00000034586	TF-TG
ENSMUSG00000022479	ENSMUSG00000034591	TF-TG
ENSMUSG00000022479	ENSMUSG00000035896	TF-TG
ENSMUSG00000022479	ENSMUSG00000035930	TF-TG
ENSMUSG00000022479	ENSMUSG00000037579	TF-TG
ENSMUSG00000022479	ENSMUSG00000038039	TF-TG
ENSMUSG00000022479	ENSMUSG00000038305	TF-TG
ENSMUSG00000022479	ENSMUSG00000038312	TF-TG
ENSMUSG00000022479	ENSMUSG00000038599	TF-TG
ENSMUSG00000022479	ENSMUSG00000038879	TF-TG
ENSMUSG00000022479	ENSMUSG00000039050	TF-TG
ENSMUSG00000022479	ENSMUSG00000039168	TF-TG
ENSMUSG00000022479	ENSMUSG00000039234	TF-TG
ENSMUSG00000022479	ENSMUSG00000039774	TF-TG
ENSMUSG00000022479	ENSMUSG00000040276	TF-TG
ENSMUSG00000022479	ENSMUSG00000040605	TF-TG
ENSMUSG00000022479	ENSMUSG00000041261	TF-TG
ENSMUSG00000022479	ENSMUSG00000041351	TF-TG
ENSMUSG00000022479	ENSMUSG00000042303	TF-TG
ENSMUSG00000022479	ENSMUSG00000042306	TF-TG
ENSMUSG00000022479	ENSMUSG00000044626	TF-TG
ENSMUSG00000022479	ENSMUSG00000045281	TF-TG
ENSMUSG00000022479	ENSMUSG00000046223	TF-TG
ENSMUSG00000022479	ENSMUSG00000046410	TF-TG
ENSMUSG00000022479	ENSMUSG00000047730	TF-TG
ENSMUSG00000022479	ENSMUSG00000048970	TF-TG
ENSMUSG00000022479	ENSMUSG00000049307	TF-TG
ENSMUSG00000022479	ENSMUSG00000051177	TF-TG
ENSMUSG00000022479	ENSMUSG00000052117	TF-TG
ENSMUSG00000022479	ENSMUSG00000053460	TF-TG
ENSMUSG00000022479	ENSMUSG00000053617	TF-TG
ENSMUSG00000022479	ENSMUSG00000056050	TF-TG
ENSMUSG00000022479	ENSMUSG00000057092	TF-TG
ENSMUSG00000022479	ENSMUSG00000060519	TF-TG
ENSMUSG00000022479	ENSMUSG00000061414	TF-TG
