miRNA	logFC	logCPM	PValue	FDR
mmu-miR-7085-3p	-3.461122607	-0.57715912	2.28E-01	7.25E-01
mmu-miR-30a-5p	-0.380391524	12.89954383	2.30E-01	7.29E-01
mmu-miR-1956	-1.806277043	0.24423905	2.32E-01	7.32E-01
mmu-miR-93-5p	-0.354488879	11.6413031	2.34E-01	7.32E-01
mmu-miR-615-3p	3.814003206	-0.49149127	2.35E-01	7.32E-01
mmu-miR-33-3p	0.652229159	1.90856516	2.39E-01	7.41E-01
mmu-miR-423-3p	-0.456931806	10.68870971	2.42E-01	7.46E-01
mmu-miR-1960	-1.257811126	0.36832214	2.43E-01	7.46E-01
mmu-miR-1843b-5p	0.386572368	4.69348442	2.43E-01	7.46E-01
mmu-miR-27a-5p	-0.425629176	3.86460923	2.44E-01	7.46E-01
mmu-miR-200c-3p	0.381490764	11.4386695	2.46E-01	7.48E-01
mmu-miR-107-5p	-1.105224706	0.16084989	2.49E-01	7.52E-01
mmu-let-7c-2-3p	-0.465467203	3.47199259	2.50E-01	7.52E-01
mmu-let-7a-1-3p	-0.465467203	3.47199259	2.50E-01	7.52E-01
mmu-miR-21a-3p	-0.42316363	6.46953631	2.51E-01	7.52E-01
mmu-miR-7015-3p	0.61338365	1.45595371	2.54E-01	7.57E-01
mmu-miR-486a-5p	-0.348123661	7.2050403	2.58E-01	7.68E-01
mmu-miR-486b-5p	-0.348123661	7.2050403	2.58E-01	7.68E-01
mmu-miR-125b-2-3p	-0.815027723	1.22163358	2.61E-01	7.73E-01
mmu-miR-301b-3p	-0.378456317	5.77945623	2.63E-01	7.73E-01
mmu-miR-125b-5p	0.655349785	2.41014359	2.63E-01	7.73E-01
mmu-miR-143-3p	0.542024041	3.71622924	2.66E-01	7.77E-01
mmu-miR-181d-5p	-0.369662296	8.83696761	2.69E-01	7.78E-01
mmu-miR-378b	-0.5108405	2.62532838	2.69E-01	7.78E-01
mmu-miR-182-5p	0.365478234	15.87215375	2.69E-01	7.78E-01
mmu-miR-5615-3p	-3.372560563	-0.61636774	2.74E-01	7.86E-01
mmu-miR-652-3p	0.398920966	8.42007717	2.75E-01	7.88E-01
mmu-miR-5114	0.487887773	2.47645595	2.78E-01	7.91E-01
mmu-let-7a-5p	0.324940303	12.50558895	2.79E-01	7.91E-01
mmu-miR-133a-3p	0.586935571	1.73918323	2.80E-01	7.91E-01
mmu-miR-29a-3p	0.357201842	9.95170912	2.84E-01	7.99E-01
mmu-miR-15b-5p	-0.356738401	9.58754333	2.91E-01	8.16E-01
mmu-miR-1981-3p	-0.435266166	4.87976893	2.95E-01	8.24E-01
mmu-miR-98-5p	-0.310538346	10.03173956	3.05E-01	8.44E-01
mmu-miR-6538	0.541129727	2.31258027	3.05E-01	8.44E-01
mmu-miR-100-5p	1.125149406	0.37087556	3.12E-01	8.61E-01
mmu-miR-1843a-5p	0.34066813	4.66808009	3.13E-01	8.61E-01
mmu-miR-6969-5p	3.617950312	-0.57070461	3.23E-01	8.85E-01
mmu-miR-301b-5p	-3.664939522	-0.49813443	3.25E-01	8.85E-01
mmu-miR-151-3p	0.401297539	12.89776656	3.26E-01	8.85E-01
mmu-miR-298-5p	-0.355557645	4.50787399	3.31E-01	8.97E-01
