miRNA	logFC	logCPM	PValue	FDR
mmu-miR-324-3p	0.274369928	5.26E+00	4.28E-01	8.48E-01
mmu-miR-9-5p	1.460752271	-3.63E-01	4.31E-01	8.53E-01
mmu-miR-26b-5p	0.232217869	1.20E+01	4.36E-01	8.59E-01
mmu-miR-505-5p	3.336223626	-7.56E-01	4.38E-01	8.62E-01
mmu-miR-187-5p	3.335306479	-7.56E-01	4.40E-01	8.62E-01
mmu-miR-1934-3p	3.333510406	-7.56E-01	4.42E-01	8.64E-01
mmu-miR-7653-3p	3.332885235	-7.56E-01	4.43E-01	8.64E-01
mmu-miR-6972-3p	3.331973105	-7.56E-01	4.44E-01	8.64E-01
mmu-miR-3102-3p	-0.444033992	1.99E+00	4.49E-01	8.71E-01
mmu-miR-5615-3p	-3.629060785	-6.60E-01	4.68E-01	9.01E-01
mmu-miR-200c-5p	0.32195923	4.02E+00	4.68E-01	9.01E-01
mmu-miR-19b-1-5p	0.716025054	6.70E-01	4.69E-01	9.01E-01
mmu-miR-34c-5p	-0.372215075	6.89E+00	4.71E-01	9.01E-01
mmu-miR-30c-5p	-0.220887047	1.09E+01	4.71E-01	9.01E-01
mmu-miR-151-5p	-0.226776806	1.07E+01	4.75E-01	9.02E-01
mmu-miR-6922-5p	3.312322571	-8.40E-01	4.76E-01	9.02E-01
mmu-miR-1b-3p	3.31262956	-8.40E-01	4.76E-01	9.02E-01
mmu-miR-5119	3.31510334	-8.40E-01	4.80E-01	9.05E-01
mmu-miR-381-3p	-1.122366545	-3.40E-01	4.81E-01	9.05E-01
mmu-miR-467c-5p	3.316497359	-8.40E-01	4.82E-01	9.05E-01
mmu-miR-466q	3.317516917	-8.40E-01	4.84E-01	9.05E-01
mmu-miR-7213-3p	3.317665328	-8.40E-01	4.84E-01	9.05E-01
mmu-miR-6985-3p	3.31935945	-8.40E-01	4.87E-01	9.08E-01
mmu-miR-193a-5p	3.321669151	-8.40E-01	4.91E-01	9.13E-01
mmu-miR-7091-3p	3.323160119	-8.40E-01	4.93E-01	9.15E-01
mmu-miR-467e-5p	3.324638769	-8.40E-01	4.96E-01	9.17E-01
mmu-miR-181a-2-3p	-0.389365598	4.69E+00	4.97E-01	9.17E-01
mmu-miR-338-3p	3.326133432	-8.40E-01	4.99E-01	9.18E-01
mmu-miR-7667-3p	3.32680516	-8.40E-01	5.00E-01	9.18E-01
mmu-miR-130b-3p	-0.215812682	9.44E+00	5.03E-01	9.20E-01
mmu-miR-34c-3p	0.623743232	9.83E-01	5.04E-01	9.21E-01
mmu-miR-331-3p	0.245211272	5.93E+00	5.06E-01	9.21E-01
mmu-miR-106a-5p	0.716861678	7.43E-01	5.09E-01	9.24E-01
mmu-miR-200c-3p	0.211305162	1.15E+01	5.22E-01	9.45E-01
mmu-miR-7240-5p	-3.508762895	-6.30E-01	5.28E-01	9.53E-01
mmu-miR-326-5p	-3.508159716	-6.30E-01	5.30E-01	9.55E-01
mmu-miR-3109-5p	-3.50736034	-6.30E-01	5.33E-01	9.58E-01
mmu-miR-16-2-3p	-0.380156113	2.46E+00	5.42E-01	9.72E-01
mmu-miR-30c-2-3p	0.217890785	5.95E+00	5.51E-01	9.85E-01
mmu-miR-505-3p	-1.322616416	-1.62E-01	5.56E-01	9.88E-01
mmu-miR-186-3p	1.504501319	-2.18E-01	5.56E-01	9.88E-01
mmu-miR-3061-5p	-1.068934847	2.16E-01	5.59E-01	9.92E-01
mmu-miR-3098-5p	-3.069096101	-7.71E-01	5.63E-01	9.96E-01
mmu-miR-7237-3p	-1.114686051	-2.39E-01	5.67E-01	1.00E+00
mmu-miR-3066-5p	-0.489548928	1.19E+00	5.96E-01	1.00E+00
mmu-miR-421-5p	-0.994940027	-3.57E-01	5.98E-01	1.00E+00
mmu-miR-3086-5p	-0.851453824	-4.29E-01	6.19E-01	1.00E+00
mmu-miR-671-5p	-0.233458253	2.80E+00	6.26E-01	1.00E+00
mmu-miR-378c	-0.176942494	6.34E+00	6.28E-01	1.00E+00
mmu-miR-3098-3p	-0.636774133	3.79E-01	6.33E-01	1.00E+00
mmu-miR-8114	0.369543137	1.68E+00	6.33E-01	1.00E+00
mmu-miR-671-3p	-0.180301244	5.99E+00	6.43E-01	1.00E+00
mmu-miR-434-3p	-0.408579822	2.30E+00	6.52E-01	1.00E+00
mmu-miR-8103	-0.44077049	9.52E-01	6.57E-01	1.00E+00
mmu-miR-181c-3p	0.174003157	7.15E+00	6.65E-01	1.00E+00
mmu-miR-1930-5p	0.700074378	-3.47E-01	6.72E-01	1.00E+00
mmu-miR-6992-5p	-3.254508746	-7.28E-01	6.76E-01	1.00E+00
mmu-miR-20a-5p	-0.13275171	8.71E+00	6.81E-01	1.00E+00
mmu-miR-3473d	-0.212237314	2.35E+00	6.94E-01	1.00E+00
mmu-miR-320-5p	-3.018036093	-8.33E-01	7.04E-01	1.00E+00
mmu-miR-1199-5p	0.489622467	1.97E-01	7.05E-01	1.00E+00
mmu-miR-301b-5p	-1.07188791	-3.52E-01	7.06E-01	1.00E+00
mmu-miR-1191b-5p	-3.019419924	-8.33E-01	7.07E-01	1.00E+00
mmu-miR-7032-3p	-3.021518993	-8.33E-01	7.12E-01	1.00E+00
mmu-miR-1982-3p	-0.806015017	4.14E-01	7.13E-01	1.00E+00
mmu-miR-363-5p	-3.022409825	-8.33E-01	7.14E-01	1.00E+00
mmu-miR-3102-3p.2-3p	-3.023379686	-8.33E-01	7.16E-01	1.00E+00
mmu-miR-365-2-5p	-0.316950793	1.58E+00	7.18E-01	1.00E+00
mmu-miR-7081-3p	-3.024363163	-8.33E-01	7.19E-01	1.00E+00
mmu-miR-324-5p	0.137392311	5.02E+00	7.19E-01	1.00E+00
mmu-miR-7663-3p	-3.024616996	-8.33E-01	7.19E-01	1.00E+00
mmu-miR-34a-5p	0.139108884	8.02E+00	7.20E-01	1.00E+00
mmu-miR-6994-3p	-3.025672063	-8.33E-01	7.22E-01	1.00E+00
mmu-miR-532-5p	-0.117457306	8.80E+00	7.23E-01	1.00E+00
mmu-miR-6996-5p	0.959031854	-4.59E-01	7.24E-01	1.00E+00
mmu-miR-6948-3p	-0.662221347	4.13E-01	7.26E-01	1.00E+00
mmu-miR-7231-5p	-3.028108652	-8.33E-01	7.28E-01	1.00E+00
mmu-miR-339-3p	0.12610184	4.81E+00	7.29E-01	1.00E+00
mmu-miR-26a-2-3p	0.173251902	3.59E+00	7.39E-01	1.00E+00
mmu-miR-203-3p	-0.107839191	1.15E+01	7.40E-01	1.00E+00
mmu-miR-1249-3p	0.193743679	2.59E+00	7.44E-01	1.00E+00
mmu-miR-3060-3p	0.25650281	1.20E+00	7.52E-01	1.00E+00
mmu-miR-6956-3p	-0.742090155	6.50E-04	7.55E-01	1.00E+00
mmu-miR-182-5p	0.093085054	1.59E+01	7.60E-01	1.00E+00
mmu-miR-362-5p	0.197052062	2.48E+00	7.62E-01	1.00E+00
mmu-miR-6909-5p	-0.697127823	-4.46E-01	7.66E-01	1.00E+00
mmu-miR-331-5p	-0.233966012	1.60E+00	7.67E-01	1.00E+00
mmu-miR-411-5p	-0.489386584	6.60E-01	7.73E-01	1.00E+00
mmu-miR-6399	-0.887592776	-3.12E-01	7.79E-01	1.00E+00
mmu-let-7c-1-3p	0.576153032	-1.69E-01	7.80E-01	1.00E+00
mmu-miR-34b-3p	-0.193736704	2.14E+00	7.89E-01	1.00E+00
mmu-miR-32-3p	0.149328748	1.73E+00	7.92E-01	1.00E+00
mmu-miR-20a-3p	-0.161095752	2.77E+00	7.96E-01	1.00E+00
mmu-miR-496a-3p	2.794623034	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-8094	2.798796289	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-7008-3p	2.795330881	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-3089-3p	2.795805925	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-130a-5p	2.793274011	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-214-3p	2.798838041	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-365-1-5p	2.792950281	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-6395	0.803222651	-9.19E-01	8.00E-01	1.00E+00
mmu-miR-7687-3p	2.795958703	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-142a-3p	2.799366281	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-669c-5p	2.797163628	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-7212-5p	2.79700363	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-3110-5p	2.795696814	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-7219-3p	2.794223142	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-6900-3p	2.793841295	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-7026-5p	2.799147268	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-429-5p	2.796377774	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-7093-3p	2.795782992	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-6932-3p	2.795506632	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-199b-5p	2.79532262	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-7679-3p	2.459227244	-9.70E-01	8.00E-01	1.00E+00
mmu-miR-6921-3p	2.79765074	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-1231-3p	2.796275829	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-3108-5p	2.796169516	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-6954-3p	2.796115289	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-134-5p	2.79063023	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-6546-5p	1.965394804	-1.02E+00	8.00E-01	1.00E+00
mmu-miR-7661-3p	2.794368782	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-133b-3p	2.328085395	-9.42E-01	8.00E-01	1.00E+00
mmu-miR-7680-3p	2.025476417	-9.83E-01	8.00E-01	1.00E+00
mmu-miR-1955-3p	2.79819879	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-145a-3p	2.793476282	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-615-3p	2.791943071	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-5132-3p	2.796478965	-8.64E-01	8.00E-01	1.00E+00
mmu-miR-135a-5p	2.458245325	-9.22E-01	8.00E-01	1.00E+00
mmu-miR-155-5p	-0.119517195	3.89E+00	8.15E-01	1.00E+00
mmu-miR-7015-3p	-0.200143791	1.23E+00	8.16E-01	1.00E+00
mmu-miR-7083-5p	0.391260859	4.10E-02	8.18E-01	1.00E+00
mmu-miR-3068-3p	0.102016819	3.43E+00	8.25E-01	1.00E+00
mmu-miR-345-3p	0.071057329	6.34E+00	8.30E-01	1.00E+00
mmu-miR-409-3p	-0.4741188	3.37E-01	8.37E-01	1.00E+00
mmu-miR-6516-3p	-0.748279174	9.41E-02	8.38E-01	1.00E+00
mmu-miR-138-5p	0.136541856	1.49E+00	8.45E-01	1.00E+00
mmu-miR-219a-1-3p	0.103694652	2.76E+00	8.52E-01	1.00E+00
mmu-miR-374c-3p	0.102522274	2.91E+00	8.56E-01	1.00E+00
mmu-miR-7046-3p	-0.339285899	8.33E-01	8.56E-01	1.00E+00
mmu-miR-16-1-3p	0.108430089	2.71E+00	8.59E-01	1.00E+00
mmu-let-7g-5p	-0.060580431	1.26E+01	8.60E-01	1.00E+00
mmu-miR-361-5p	-0.068213431	7.12E+00	8.70E-01	1.00E+00
mmu-miR-140-3p	0.044995858	9.89E+00	8.74E-01	1.00E+00
mmu-miR-1949	-0.178362015	5.07E-01	8.81E-01	1.00E+00
mmu-miR-98-3p	-0.088044101	2.87E+00	8.84E-01	1.00E+00
mmu-miR-30a-3p	0.037667028	7.68E+00	8.95E-01	1.00E+00
mmu-miR-3074-1-3p	0.293058731	3.97E-01	8.96E-01	1.00E+00
mmu-miR-6909-3p	-2.743866594	-8.46E-01	8.96E-01	1.00E+00
mmu-miR-6997-5p	-2.743544558	-8.46E-01	8.99E-01	1.00E+00
mmu-miR-6930-5p	-2.743356406	-8.46E-01	9.00E-01	1.00E+00
mmu-miR-652-3p	-0.052893279	8.35E+00	9.00E-01	1.00E+00
mmu-miR-3094-5p	-2.743146023	-8.46E-01	9.01E-01	1.00E+00
mmu-miR-322-3p	-2.743111114	-8.46E-01	9.02E-01	1.00E+00
mmu-miR-1929-5p	-2.743072221	-8.46E-01	9.02E-01	1.00E+00
mmu-miR-486b-3p	-2.742962181	-8.46E-01	9.03E-01	1.00E+00
mmu-miR-7029-5p	-2.742941675	-8.46E-01	9.03E-01	1.00E+00
mmu-miR-7648-3p	-2.742899159	-8.46E-01	9.03E-01	1.00E+00
mmu-miR-7647-5p	-2.742894196	-8.46E-01	9.03E-01	1.00E+00
mmu-miR-27a-5p	0.04918188	4.22E+00	9.04E-01	1.00E+00
mmu-miR-6964-3p	-2.74253316	-8.46E-01	9.06E-01	1.00E+00
mmu-miR-146b-3p	-2.742221904	-8.46E-01	9.08E-01	1.00E+00
mmu-miR-486a-3p	-2.742179302	-8.46E-01	9.08E-01	1.00E+00
mmu-miR-7051-5p	-2.631745431	-8.51E-01	9.09E-01	1.00E+00
mmu-miR-7008-5p	-2.742017413	-8.46E-01	9.10E-01	1.00E+00
mmu-miR-6971-3p	-2.631150226	-8.51E-01	9.10E-01	1.00E+00
mmu-miR-7687-5p	-2.63112027	-8.51E-01	9.11E-01	1.00E+00
mmu-miR-7655-3p	-2.630969728	-8.51E-01	9.11E-01	1.00E+00
mmu-miR-3102-5p	-2.741760747	-8.46E-01	9.12E-01	1.00E+00
mmu-miR-300-3p	-2.630645297	-8.51E-01	9.12E-01	1.00E+00
mmu-miR-6939-3p	-2.630259758	-8.51E-01	9.13E-01	1.00E+00
mmu-miR-7213-5p	-2.630192031	-8.51E-01	9.13E-01	1.00E+00
mmu-miR-1943-3p	-2.741453216	-8.46E-01	9.14E-01	1.00E+00
mmu-miR-7091-5p	-2.629828813	-8.51E-01	9.14E-01	1.00E+00
mmu-miR-3473g	-2.741395603	-8.46E-01	9.14E-01	1.00E+00
mmu-miR-23a-5p	-2.629460547	-8.51E-01	9.15E-01	1.00E+00
mmu-miR-6932-5p	-2.628361036	-8.51E-01	9.18E-01	1.00E+00
mmu-miR-6937-3p	-2.628092433	-8.51E-01	9.18E-01	1.00E+00
mmu-miR-500-5p	-2.628008499	-8.51E-01	9.19E-01	1.00E+00
mmu-miR-6941-3p	-2.627610912	-8.51E-01	9.20E-01	1.00E+00
mmu-miR-7682-3p	-2.627100903	-8.51E-01	9.21E-01	1.00E+00
mmu-miR-6936-3p	-2.627020222	-8.51E-01	9.21E-01	1.00E+00
mmu-miR-7674-3p	-2.626552885	-8.51E-01	9.22E-01	1.00E+00
mmu-miR-6918-5p	-2.626293524	-8.51E-01	9.23E-01	1.00E+00
mmu-miR-341-3p	-2.625551533	-8.51E-01	9.25E-01	1.00E+00
mmu-miR-188-5p	-0.068999358	2.58E+00	9.25E-01	1.00E+00
mmu-miR-455-5p	0.430088195	-3.74E-05	9.26E-01	1.00E+00
mmu-miR-211-5p	-2.624690725	-8.51E-01	9.28E-01	1.00E+00
mmu-miR-3073b-3p	-2.624566171	-8.51E-01	9.28E-01	1.00E+00
mmu-let-7a-5p	-0.029007172	1.25E+01	9.36E-01	1.00E+00
mmu-miR-1934-5p	-0.195925273	1.25E+00	9.37E-01	1.00E+00
mmu-miR-16-5p	0.013633691	1.21E+01	9.55E-01	1.00E+00
mmu-miR-141-5p	-0.017707131	7.96E+00	9.69E-01	1.00E+00
mmu-let-7f-1-3p	-0.021983712	4.17E+00	9.70E-01	1.00E+00
mmu-miR-23b-5p	-0.233186657	6.60E-01	9.77E-01	1.00E+00
mmu-miR-6899-3p	0.529188152	-6.14E-01	9.80E-01	1.00E+00
mmu-miR-181d-5p	0.002595086	9.17E+00	9.82E-01	1.00E+00
mmu-miR-7650-5p	0.673702161	-5.50E-01	9.88E-01	1.00E+00
mmu-miR-182-3p	0.0465901	1.72E+00	9.92E-01	1.00E+00
mmu-miR-150-5p	-0.0920718	1.69E+00	9.93E-01	1.00E+00
mmu-miR-192-3p	-0.003582622	6.88E+00	9.98E-01	1.00E+00
mmu-miR-1958	-2.292833257	-9.12E-01	1.00E+00	1.00E+00
mmu-miR-7065-3p	-2.202283587	-9.67E-01	1.00E+00	1.00E+00
mmu-miR-6967-3p	-1.949741213	-9.73E-01	1.00E+00	1.00E+00
mmu-miR-103-1-5p	-1.949556147	-9.73E-01	1.00E+00	1.00E+00
mmu-miR-3963	1.049889845	-1.07E+00	1.00E+00	1.00E+00
mmu-miR-5128	-0.87066524	-1.07E+00	1.00E+00	1.00E+00
mmu-miR-692	0.781362184	-1.08E+00	1.00E+00	1.00E+00
mmu-miR-3084-5p	0.445123305	-8.43E-01	1.00E+00	1.00E+00
mmu-miR-3572-3p	-0.407970866	-4.24E-01	1.00E+00	1.00E+00
mmu-miR-296-3p	-0.354144142	-1.38E-01	1.00E+00	1.00E+00
mmu-miR-7033-5p	-0.352782574	-4.58E-01	1.00E+00	1.00E+00
mmu-miR-6946-3p	-0.308038232	-5.44E-01	1.00E+00	1.00E+00
mmu-miR-29b-2-5p	-0.307669084	-5.44E-01	1.00E+00	1.00E+00
mmu-miR-677-3p	0.300218786	-6.02E-01	1.00E+00	1.00E+00
mmu-miR-5122	-0.254811064	3.13E-01	1.00E+00	1.00E+00
mmu-miR-136-3p	-0.196023034	-4.32E-01	1.00E+00	1.00E+00
mmu-miR-7689-3p	0.179648478	-6.43E-01	1.00E+00	1.00E+00
mmu-miR-3069-5p	0.179237926	-6.43E-01	1.00E+00	1.00E+00
mmu-miR-188-3p	-0.174442683	-3.71E-01	1.00E+00	1.00E+00
mmu-miR-455-3p	-0.152019202	2.53E-02	1.00E+00	1.00E+00
mmu-miR-7075-3p	-0.145905505	-6.26E-01	1.00E+00	1.00E+00
mmu-miR-6988-3p	-0.08796055	1.25E+00	1.00E+00	1.00E+00
mmu-miR-6418-3p	-0.078902208	1.34E-01	1.00E+00	1.00E+00
mmu-miR-6989-3p	0.071673623	-1.37E-01	1.00E+00	1.00E+00
mmu-miR-1191a	0.059204677	7.09E-01	1.00E+00	1.00E+00
mmu-miR-1955-5p	-0.037181244	1.15E+00	1.00E+00	1.00E+00
mmu-miR-301a-5p	-0.028752709	8.55E-01	1.00E+00	1.00E+00
mmu-miR-6960-5p	0.021427842	-5.13E-01	1.00E+00	1.00E+00
mmu-miR-1198-3p	0.021358367	3.20E-01	1.00E+00	1.00E+00
mmu-miR-34b-5p	0.017111956	1.85E+00	1.00E+00	1.00E+00
mmu-miR-5100	-0.016006855	3.66E+00	1.00E+00	1.00E+00
mmu-miR-1291	-0.007947343	7.28E-01	1.00E+00	1.00E+00
mmu-miR-8112	0.002844114	1.15E+00	1.00E+00	1.00E+00
mmu-miR-410-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-337-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-540-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-673-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-1948-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3079-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-369-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-346-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7652-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-219c-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7036b-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3066-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-5134-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-667-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6943-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-154-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-598-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-543-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-184-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-8097	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6908-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3069-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-431-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6546-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-382-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3095-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7064-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-487b-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6969-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-485-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7070-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-5123	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7048-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-223-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7662-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-1933-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-323-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-379-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-1258-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7063-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3087-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-5103	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-224-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-873a-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6962-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6911-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6955-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-376b-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-338-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7669-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7006-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-1932	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-5620-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7671-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7658-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-5627-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6951-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3099-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-1930-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6976-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-193b-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-223-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-181d-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6975-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3073a-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-19a-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6955-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-190a-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7052-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7030-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7647-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-136-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7116-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6979-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7013-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7083-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3077-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6897-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7021-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7079-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3079-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-5133	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-126b-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-135b-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-219c-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7664-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-1968-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7089-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3057-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3618-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7662-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-181b-2-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7018-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-5615-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-10b-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7067-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7054-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7659-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7073-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-491-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6986-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-7041-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-328-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3474	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6993-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-3081-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-5101	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6929-3p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-6940-5p	0	-1.11E+00	1.00E+00	1.00E+00
mmu-miR-511-3p	0	-1.11E+00	1.00E+00	1.00E+00
