ident	gene	coefD	pvalD	padjD	coefC	pvalC	padjC	mastfc	alpha	ref_alpha	mu	ref_mu	mean	ref_mean	log2fc
Immature Goblet	DGKH	1.416604945	3.39451E-05	0.000706546	0.046804707	0.833443259	1	0.053235	0.088709677	0.013096352	1.662346476	1.971346614	-1.832338268	-4.282871267	2.450532999
Immature Goblet	TFF2	1.408235353	3.43764E-05	0.000712861	0.399869745	0.14236692	1	0.016851469	0.084677419	0.015902713	1.870781885	1.093631041	-1.691024194	-4.8802381	3.189213906
Immature Goblet	PRAC2	1.407839674	3.4701E-05	0.000715413	-0.367019328	0.062500094	0.983747395	0.008612104	0.112903226	0.012160898	0.714050726	1.640649154	-2.432672673	-4.72031563	2.287642957
Immature Goblet	GNAQ	1.407432312	3.3822E-08	2.12556E-06	-0.268527404	0.058542587	0.954361548	0.028802193	0.201612903	0.027128157	0.631387684	1.680456257	-1.678889462	-3.523333289	1.844443827
Immature Goblet	SEC23A	1.40724071	1.35912E-05	0.000334231	-0.110838557	0.593424779	1	0.176674888	0.096774194	0.014967259	0.638044443	1.498565642	-2.731041628	-4.562906831	1.831865203
Immature Goblet	TRAFD1	1.40629951	2.45039E-05	0.00053575	-0.214519421	0.296598359	1	0.107326988	0.088709677	0.014967259	0.205896826	2.057725187	-3.288648474	-4.003931581	0.715283107
Immature Goblet	DNAJB14	1.387367509	7.03217E-06	0.000193817	0.019942025	0.921965518	1	0.150238031	0.10483871	0.01777362	1.234891742	1.558970288	-2.018775483	-4.254686362	2.235910879
Immature Goblet	ANKRD49	1.386038625	4.37301E-05	0.000861947	-0.005647333	0.980026702	1	0.12129662	0.084677419	0.014031805	0.858088522	1.444732125	-2.703643465	-4.709787655	2.00614419
Immature Goblet	AMFR	1.380983941	7.96716E-06	0.000213261	-0.35851919	0.037846384	0.801862564	0.064336437	0.112903226	0.016838167	0.75534666	2.093320312	-2.391380068	-3.798463788	1.40708372
Immature Goblet	FAM111A	1.380921478	7.63593E-05	0.001335159	0.011240119	0.96134246	1	0.080815293	0.080645161	0.013096352	1.397313657	1.497129265	-2.234847947	-4.756904454	2.522056508
Immature Goblet	NRIP1	1.380743069	2.86218E-05	0.000613412	0.083065627	0.639758059	1	0.024428363	0.112903226	0.013096352	0.557336332	0.782694258	-2.589373528	-5.470918268	2.88154474
Immature Goblet	TMPO	1.369605807	2.78636E-06	9.17663E-05	-0.336533595	0.05661695	0.941854088	0.064283104	0.133064516	0.018709074	0.834998899	1.919167948	-2.074713321	-3.820608496	1.745895175
Immature Goblet	DICER1	1.36833711	3.85837E-05	0.000776989	0.052051477	0.800479384	1	0.074515552	0.100806452	0.013096352	1.206447289	1.34963713	-2.103797612	-4.904325832	2.80052822
Immature Goblet	PTAR1	1.360744436	5.15851E-07	2.27482E-05	-0.02630675	0.864473362	1	0.052171126	0.149193548	0.024321796	1.181172153	1.568638834	-1.56350884	-3.792634465	2.229125625
Immature Goblet	SNORA76	1.341671256	9.18343E-09	6.52826E-07	-0.028397628	0.831265113	1	0.058064876	0.201612903	0.037418148	1.406421738	1.702457701	-0.903881581	-3.037465633	2.133584053
Immature Goblet	ARGLU1	1.329069007	6.20857E-13	1.17054E-10	0.114508119	0.275444992	1	0.253074125	0.346774194	0.082319925	1.506055854	1.719040666	-0.021859364	-1.883490439	1.861631075
Immature Goblet	CHPF	1.326704863	1.05722E-10	1.26177E-08	0.076793372	0.523091073	1	0.184996731	0.241935484	0.057062675	1.288860764	1.528604765	-0.758413359	-2.602562944	1.844149584
Immature Goblet	CD44	1.316556097	8.29907E-15	2.11691E-12	0.362559667	0.000956705	0.060711087	0.730940982	0.370967742	0.109448082	1.649054803	1.543242961	0.218433767	-1.648369683	1.86680345
Immature Goblet	ASPH	1.260548521	1.34167E-13	2.68521E-11	0.284776861	0.000481947	0.03688032	0.058777345	0.475806452	0.142188962	1.687347334	1.672185873	0.615802499	-1.141886119	1.757688618
Immature Goblet	DDX17	1.260435961	2.3759E-12	3.72386E-10	0.227009868	0.026011833	0.674397585	0.22196656	0.391129032	0.100093545	1.880022413	1.777311328	0.525749363	-1.543203213	2.068952576
Immature Goblet	TTC3	1.17158708	1.73841E-10	1.96652E-08	0.033520849	0.751979619	1	0.145344772	0.350806452	0.092609916	1.285556106	1.741089096	-0.225678007	-1.691528218	1.465850211
Immature Goblet	ASRGL1	1.168563786	2.94758E-10	3.11749E-08	0.262447319	0.006160487	0.275729609	0.063892664	0.362903226	0.09354537	1.704303347	1.603600791	0.241973404	-1.81451061	2.056484014
