source	target	interactiontype
ENSMUSG00000000567	ENSMUSG00000021876	TF-TG
ENSMUSG00000000567	ENSMUSG00000021947	TF-TG
ENSMUSG00000000567	ENSMUSG00000021957	TF-TG
ENSMUSG00000000567	ENSMUSG00000021974	TF-TG
ENSMUSG00000000567	ENSMUSG00000022033	TF-TG
ENSMUSG00000000567	ENSMUSG00000022051	TF-TG
ENSMUSG00000000567	ENSMUSG00000022094	TF-TG
ENSMUSG00000000567	ENSMUSG00000022105	TF-TG
ENSMUSG00000000567	ENSMUSG00000022136	TF-TG
ENSMUSG00000000567	ENSMUSG00000022148	TF-TG
ENSMUSG00000000567	ENSMUSG00000022178	TF-TG
ENSMUSG00000000567	ENSMUSG00000022208	TF-TG
ENSMUSG00000000567	ENSMUSG00000022217	TF-TG
ENSMUSG00000000567	ENSMUSG00000022219	TF-TG
ENSMUSG00000000567	ENSMUSG00000022235	TF-TG
ENSMUSG00000000567	ENSMUSG00000022253	TF-TG
ENSMUSG00000000567	ENSMUSG00000022265	TF-TG
ENSMUSG00000000567	ENSMUSG00000022324	TF-TG
ENSMUSG00000000567	ENSMUSG00000022364	TF-TG
ENSMUSG00000000567	ENSMUSG00000022383	TF-TG
ENSMUSG00000000567	ENSMUSG00000022519	TF-TG
ENSMUSG00000000567	ENSMUSG00000022528	TF-TG
ENSMUSG00000000567	ENSMUSG00000022543	TF-TG
ENSMUSG00000000567	ENSMUSG00000022546	TF-TG
ENSMUSG00000000567	ENSMUSG00000022555	TF-TG
ENSMUSG00000000567	ENSMUSG00000022629	TF-TG
ENSMUSG00000000567	ENSMUSG00000022637	TF-TG
ENSMUSG00000000567	ENSMUSG00000022652	TF-TG
ENSMUSG00000000567	ENSMUSG00000022742	TF-TG
ENSMUSG00000000567	ENSMUSG00000022817	TF-TG
ENSMUSG00000000567	ENSMUSG00000022829	TF-TG
ENSMUSG00000000567	ENSMUSG00000022836	TF-TG
ENSMUSG00000000567	ENSMUSG00000022844	TF-TG
ENSMUSG00000000567	ENSMUSG00000022864	TF-TG
ENSMUSG00000000567	ENSMUSG00000022883	TF-TG
ENSMUSG00000000567	ENSMUSG00000022947	TF-TG
ENSMUSG00000000567	ENSMUSG00000022995	TF-TG
ENSMUSG00000000567	ENSMUSG00000023004	TF-TG
ENSMUSG00000000567	ENSMUSG00000023008	TF-TG
ENSMUSG00000000567	ENSMUSG00000023015	TF-TG
ENSMUSG00000000567	ENSMUSG00000023017	TF-TG
ENSMUSG00000000567	ENSMUSG00000023032	TF-TG
ENSMUSG00000000567	ENSMUSG00000023078	TF-TG
ENSMUSG00000000567	ENSMUSG00000023216	TF-TG
ENSMUSG00000000567	ENSMUSG00000023247	TF-TG
ENSMUSG00000000567	ENSMUSG00000023262	TF-TG
ENSMUSG00000000567	ENSMUSG00000023473	TF-TG
ENSMUSG00000000567	ENSMUSG00000023800	TF-TG
ENSMUSG00000000567	ENSMUSG00000023809	TF-TG
ENSMUSG00000000567	ENSMUSG00000023827	TF-TG
ENSMUSG00000000567	ENSMUSG00000023905	TF-TG
ENSMUSG00000000567	ENSMUSG00000023906	TF-TG
ENSMUSG00000000567	ENSMUSG00000023940	TF-TG
ENSMUSG00000000567	ENSMUSG00000023961	TF-TG
ENSMUSG00000000567	ENSMUSG00000023963	TF-TG
ENSMUSG00000000567	ENSMUSG00000024074	TF-TG
ENSMUSG00000000567	ENSMUSG00000024105	TF-TG
ENSMUSG00000000567	ENSMUSG00000024112	TF-TG
ENSMUSG00000000567	ENSMUSG00000024140	TF-TG
ENSMUSG00000000567	ENSMUSG00000024193	TF-TG
ENSMUSG00000000567	ENSMUSG00000024232	TF-TG
ENSMUSG00000000567	ENSMUSG00000024330	TF-TG
ENSMUSG00000000567	ENSMUSG00000024349	TF-TG
ENSMUSG00000000567	ENSMUSG00000024352	TF-TG
ENSMUSG00000000567	ENSMUSG00000024378	TF-TG
ENSMUSG00000000567	ENSMUSG00000024479	TF-TG
ENSMUSG00000000567	ENSMUSG00000024516	TF-TG
ENSMUSG00000000567	ENSMUSG00000024548	TF-TG
ENSMUSG00000000567	ENSMUSG00000024552	TF-TG
ENSMUSG00000000567	ENSMUSG00000024556	TF-TG
ENSMUSG00000000567	ENSMUSG00000024590	TF-TG
ENSMUSG00000000567	ENSMUSG00000024600	TF-TG
ENSMUSG00000000567	ENSMUSG00000024659	TF-TG
ENSMUSG00000000567	ENSMUSG00000024713	TF-TG
ENSMUSG00000000567	ENSMUSG00000024727	TF-TG
ENSMUSG00000000567	ENSMUSG00000024738	TF-TG
ENSMUSG00000000567	ENSMUSG00000024743	TF-TG
ENSMUSG00000000567	ENSMUSG00000024795	TF-TG
ENSMUSG00000000567	ENSMUSG00000024810	TF-TG
ENSMUSG00000000567	ENSMUSG00000024887	TF-TG
ENSMUSG00000000567	ENSMUSG00000024897	TF-TG
ENSMUSG00000000567	ENSMUSG00000024899	TF-TG
ENSMUSG00000000567	ENSMUSG00000024909	TF-TG
ENSMUSG00000000567	ENSMUSG00000024912	TF-TG
ENSMUSG00000000567	ENSMUSG00000024978	TF-TG
ENSMUSG00000000567	ENSMUSG00000024998	TF-TG
ENSMUSG00000000567	ENSMUSG00000025001	TF-TG
ENSMUSG00000000567	ENSMUSG00000025025	TF-TG
ENSMUSG00000000567	ENSMUSG00000025035	TF-TG
ENSMUSG00000000567	ENSMUSG00000025037	TF-TG
ENSMUSG00000000567	ENSMUSG00000025089	TF-TG
ENSMUSG00000000567	ENSMUSG00000025176	TF-TG
ENSMUSG00000000567	ENSMUSG00000025185	TF-TG
ENSMUSG00000000567	ENSMUSG00000025227	TF-TG
ENSMUSG00000000567	ENSMUSG00000025351	TF-TG
ENSMUSG00000000567	ENSMUSG00000025352	TF-TG
ENSMUSG00000000567	ENSMUSG00000025410	TF-TG
ENSMUSG00000000567	ENSMUSG00000025477	TF-TG
ENSMUSG00000000567	ENSMUSG00000025500	TF-TG
ENSMUSG00000000567	ENSMUSG00000025511	TF-TG
ENSMUSG00000000567	ENSMUSG00000025545	TF-TG
ENSMUSG00000000567	ENSMUSG00000025557	TF-TG
ENSMUSG00000000567	ENSMUSG00000025584	TF-TG
ENSMUSG00000000567	ENSMUSG00000025648	TF-TG
ENSMUSG00000000567	ENSMUSG00000025701	TF-TG
ENSMUSG00000000567	ENSMUSG00000025780	TF-TG
ENSMUSG00000000567	ENSMUSG00000025876	TF-TG
ENSMUSG00000000567	ENSMUSG00000025893	TF-TG
ENSMUSG00000000567	ENSMUSG00000025921	TF-TG
ENSMUSG00000000567	ENSMUSG00000025959	TF-TG
ENSMUSG00000000567	ENSMUSG00000025969	TF-TG
ENSMUSG00000000567	ENSMUSG00000025991	TF-TG
ENSMUSG00000000567	ENSMUSG00000026072	TF-TG
ENSMUSG00000000567	ENSMUSG00000026090	TF-TG
ENSMUSG00000000567	ENSMUSG00000026103	TF-TG
ENSMUSG00000000567	ENSMUSG00000026107	TF-TG
ENSMUSG00000000567	ENSMUSG00000026247	TF-TG
ENSMUSG00000000567	ENSMUSG00000026278	TF-TG
ENSMUSG00000000567	ENSMUSG00000026385	TF-TG
ENSMUSG00000000567	ENSMUSG00000026430	TF-TG
ENSMUSG00000000567	ENSMUSG00000026442	TF-TG
ENSMUSG00000000567	ENSMUSG00000026482	TF-TG
ENSMUSG00000000567	ENSMUSG00000026483	TF-TG
ENSMUSG00000000567	ENSMUSG00000026504	TF-TG
ENSMUSG00000000567	ENSMUSG00000026509	TF-TG
ENSMUSG00000000567	ENSMUSG00000026520	TF-TG
ENSMUSG00000000567	ENSMUSG00000026527	TF-TG
ENSMUSG00000000567	ENSMUSG00000026604	TF-TG
ENSMUSG00000000567	ENSMUSG00000026605	TF-TG
ENSMUSG00000000567	ENSMUSG00000026649	TF-TG
ENSMUSG00000000567	ENSMUSG00000026730	TF-TG
ENSMUSG00000000567	ENSMUSG00000026782	TF-TG
ENSMUSG00000000567	ENSMUSG00000026848	TF-TG
ENSMUSG00000000567	ENSMUSG00000026879	TF-TG
ENSMUSG00000000567	ENSMUSG00000026880	TF-TG
ENSMUSG00000000567	ENSMUSG00000026921	TF-TG
ENSMUSG00000000567	ENSMUSG00000026930	TF-TG
ENSMUSG00000000567	ENSMUSG00000026959	TF-TG
ENSMUSG00000000567	ENSMUSG00000026981	TF-TG
ENSMUSG00000000567	ENSMUSG00000027006	TF-TG
ENSMUSG00000000567	ENSMUSG00000027082	TF-TG
ENSMUSG00000000567	ENSMUSG00000027187	TF-TG
ENSMUSG00000000567	ENSMUSG00000027313	TF-TG
ENSMUSG00000000567	ENSMUSG00000027326	TF-TG
ENSMUSG00000000567	ENSMUSG00000027333	TF-TG
ENSMUSG00000000567	ENSMUSG00000027358	TF-TG
ENSMUSG00000000567	ENSMUSG00000027379	TF-TG
ENSMUSG00000000567	ENSMUSG00000027420	TF-TG
ENSMUSG00000000567	ENSMUSG00000027469	TF-TG
ENSMUSG00000000567	ENSMUSG00000027499	TF-TG
ENSMUSG00000000567	ENSMUSG00000027514	TF-TG
ENSMUSG00000000567	ENSMUSG00000027534	TF-TG
ENSMUSG00000000567	ENSMUSG00000027544	TF-TG
ENSMUSG00000000567	ENSMUSG00000027654	TF-TG
ENSMUSG00000000567	ENSMUSG00000027661	TF-TG
ENSMUSG00000000567	ENSMUSG00000027698	TF-TG
ENSMUSG00000000567	ENSMUSG00000027715	TF-TG
ENSMUSG00000000567	ENSMUSG00000027746	TF-TG
ENSMUSG00000000567	ENSMUSG00000027750	TF-TG
ENSMUSG00000000567	ENSMUSG00000027834	TF-TG
ENSMUSG00000000567	ENSMUSG00000027883	TF-TG
ENSMUSG00000000567	ENSMUSG00000027890	TF-TG
ENSMUSG00000000567	ENSMUSG00000027907	TF-TG
ENSMUSG00000000567	ENSMUSG00000027931	TF-TG
ENSMUSG00000000567	ENSMUSG00000027938	TF-TG
ENSMUSG00000000567	ENSMUSG00000027954	TF-TG
ENSMUSG00000000567	ENSMUSG00000027995	TF-TG
ENSMUSG00000000567	ENSMUSG00000028186	TF-TG
